symbol	locus_name	acc_number	swiss-prot	sgd	sequence_length	3d	chromosome
ACO2	YJL200C	P39533	ACON2_YEAST	S000003736	789	10	
ACP1	YKL192C	P32463	ACPM_YEAST	S000001675	125	11	
ACS1	YAL054C	Q01574	ACS1_YEAST	S000000050	713	(3)	1
ACS2	YLR153C	P52910	ACS2_YEAST	S000004143	683	12	
ACT1;ABY1;END7	YFL039C	P60010	ACT_YEAST	S000001855	375	(3)	6
ADA2	YDR448W	Q02336	ADA2_YEAST	S000002856	434	(3)	4
ADD37	YMR184W	Q03233	ADD37_YEAST	S000004796	198	13	
ADD66;PBA2;POC2	YKL206C	P36040	POC2_YEAST	S000001689	267	(3)	11
ADE1	YAR015W	P27616	PUR7_YEAST	S000000070	306	(3)	1
ADE12	YNL220W	P80210	PURA_YEAST	S000005164	433	14	
ADE13	YLR359W	Q05911	PUR8_YEAST	S000004351	482	12	
ADE16	YLR028C	P54113	PUR91_YEAST	S000004018	591	12	
ADE17	YMR120C	P38009	PUR92_YEAST	S000004727	592	13	
ADE2	YOR128C	P21264	PUR6_YEAST	S000005654	571	15	
ADE3	YGR204W	P07245	C1TC_YEAST	S000003436	946	7	
ADE4	YMR300C	P04046	PUR1_YEAST	S000004915	510	13	
ADE5,7	YGL234W	P07244	PUR2_YEAST	S000003203	802	7	
ADE6	YGR061C	P38972	PUR4_YEAST	S000003293	1358	7	
ADE8	YDR408C	P04161	PUR3_YEAST	S000002816	214	4	
ADF1	YCL058W-A	Q2V2Q1	ADF1_YEAST	S000028518	113	3	
ADH1;ADC1	YOL086C	P00330	ADH1_YEAST	S000005446	348	(3)	15
ADH2;ADR2	YMR303C	P00331	ADH2_YEAST	S000004918	348	13	
ADH3	YMR083W	P07246	ADH3_YEAST	S000004688	375	13	
ADH4;ZRG5	YGL256W	P10127	ADH4_YEAST	S000003225	382	7	
ADH5	YBR145W	P38113	ADH5_YEAST	S000000349	351	2	
ADH6	YMR318C	Q04894	ADH6_YEAST	S000004937	360	(3)	13
ADH7	YCR105W	P25377	ADH7_YEAST	S000000702	361	3	
ADI1	YMR009W	Q03677	MTND_YEAST	S000004611	179	13	
ADK1;AKY;AKY1;AKY2	YDR226W	P07170	KAD2_YEAST	S000002634	222	(3)	4
ADK2;AKY3;PAK3	YER170W	P26364	KAD3_YEAST	S000000972	225	5	
ADO1	YJR105W	P47143	ADK_YEAST	S000003866	340	10	
ADP1	YCR011C	P25371	ADP1_YEAST	S000000604	1049	3	
ADR1	YDR216W	P07248	ADR1_YEAST	S000002624	1323	(3)	4
ADY2;ATO1	YCR010C	P25613	ADY2_YEAST	S000000603	283	3	
ADY3	YDL239C	Q07732	ADY3_YEAST	S000002398	790	4	
ADY4	YLR227C	Q05955	ADY4_YEAST	S000004217	493	12	
AEP1;NCA1	YMR064W	P32493	AEP1_YEAST	S000004668	518	13	
AEP2;ATP13	YMR282C	P22136	AEP2_YEAST	S000004895	580	13	
AEP3	YPL005W	Q12089	AEP3_YEAST	S000005926	606	16	
AFG1;AFG	YEL052W	P32317	AFG1_YEAST	S000000778	509	5	
AFG2	YLR397C	P32794	AFG2_YEAST	S000004389	780	12	
AFG3;YTA10	YER017C	P39925	AFG3_YEAST	S000000819	761	5	
AFI1	YOR129C	Q99222	AFI1_YEAST	S000005655	893	15	
AFR1	YDR085C	P33304	AFR1_YEAST	S000002492	620	4	
AFT1;RCS1	YGL071W	P22149	AFT1_YEAST	S000003039	690	7	
AFT2	YPL202C	Q08957	AFT2_YEAST	S000006123	416	(3)	16
AGA1	YNR044W	P32323	AGA1_YEAST	S000005327	725	14	
AGA2	YGL032C	P32781	AGA2_YEAST	S000003000	87	7	
AGC1	YPR021C	Q12482	AGC1_YEAST	S000006225	902	16	
AGE1;SAT1	YDR524C	Q04412	AGE1_YEAST	S000002932	482	4	
AGE2	YIL044C	P40529	AGE2_YEAST	S000001306	298	9	
AGP1	YCL025C	P25376	AGP1_YEAST	S000000530	633	3	
AGP2	YBR132C	P38090	AGP2_YEAST	S000000336	596	2	
AGP3	YFL055W	P43548	AGP3_YEAST	S000001839	558	6	
AGX1	YFL030W	P43567	AGX1_YEAST	S000001864	385	(3)	6
AHA1	YDR214W	Q12449	AHA1_YEAST	S000002622	350	(3)	4
AHC1	YOR023C	Q12433	AHC1_YEAST	S000005549	566	15	
AHC2	YCR082W	P25649	AHC2_YEAST	S000000678	128	3	
AHP1	YLR109W	P38013	AHP1_YEAST	S000004099	176	(3)	12
AHT1	YHR093W	P29589	AHT1_YEAST	S000001135	182	8	
AI1	Q0050	P03875	AI1M_YEAST	S000007261	834	M	
AI2	Q0055	P03876	AI2M_YEAST	S000007262	854	M	
AI3;ENS3;I-SCEIII	Q0060	P03877	SCE3_YEAST	S000007263	415	M	
AI4;ENS2;I-SCEII	Q0065	P03878	SCE2_YEAST	S000007264	556	M	
AI5_ALPHA;I-SCEIV	Q0070	Q9ZZX1	SCE4_YEAST	S000007265	630	M	
AI5_BETA	Q0075	Q9ZZX0	AI5B_YEAST	S000007266	354	M	
AIF1;CPD1	YNR074C	P52923	AIF1_YEAST	S000005357	378	14	
AIM1	YAL046C	P39724	AIM1_YEAST	S000000044	118	1	
AIM10	YER087W	P39965	SYPM_YEAST	S000000889	576	5	
AIM11;GEP8	YER093C-A	P87275	AIM11_YEAST	S000002960	137	5	
AIM14	YGL160W	P53109	AIM14_YEAST	S000003128	570	7	
AIM17;FMP12	YHL021C	P23180	AIM17_YEAST	S000001013	465	8	
AIM18;FMP22	YHR198C	P38884	AIM18_YEAST	S000001241	321	8	
AIM19	YIL087C	P40502	AIM19_YEAST	S000001349	157	9	
AIM2	YAL049C	P39721	AIM2_YEAST	S000000047	246	1	
AIM20	YIL158W	P40451	AIM20_YEAST	S000001420	204	9	
AIM21	YIR003W	P40563	AIM21_YEAST	S000001442	679	9	
AIM22	YJL046W	P47051	LPLA_YEAST	S000003582	409	10	
AIM23	YJL131C	P47015	AIM23_YEAST	S000003667	356	10	
AIM24;FMP26	YJR080C	P47127	AIM24_YEAST	S000003841	394	10	
AIM25	YJR100C	P47140	AIM25_YEAST	S000003861	327	10	
AIM26	YKL037W	P32858	AIM26_YEAST	S000001520	118	11	
AIM29	YKR074W	P36154	AIM29_YEAST	S000001782	155	11	
AIM3	YBR108W	P38266	AIM3_YEAST	S000000312	947	2	
AIM32	YML050W	Q04689	AIM32_YEAST	S000004514	311	13	
AIM33	YML087C	Q04516	AIM33_YEAST	S000004552	312	13	
AIM34	YMR003W	Q03673	AIM34_YEAST	S000004605	198	13	
AIM36;FMP39	YMR157C	Q03798	AIM36_YEAST	S000004766	255	13	
AIM39	YOL053W	Q08223	AIM39_YEAST	S000005414	395	15	
AIM41	YOR215C	Q12032	AIM41_YEAST	S000005741	185	15	
AIM44	YPL158C	Q99299	AIM44_YEAST	S000006079	758	16	
AIM45	YPR004C	Q12480	ETFA_YEAST	S000006208	344	16	
AIM46;FMP34	YHR199C	P38885	AIM46_YEAST	S000001242	310	8	
AIM4;SOY1	YBR194W	P38305	AIM4_YEAST	S000000398	123	2	
AIM6	YDL237W	Q07716	AIM6_YEAST	S000002396	390	4	
AIM7	YDR063W	Q12156	AIM7_YEAST	S000002470	149	4	
AIM9;FMP29	YER080W	P40053	AIM9_YEAST	S000000882	627	5	
AIP1	YMR092C	P46680	AIP1_YEAST	S000004698	615	(3)	13
AIR1	YIL079C	P40507	AIR1_YEAST	S000001341	360	9	
AIR2	YDL175C	Q12476	AIR2_YEAST	S000002334	344	(3)	4
AKL1	YBR059C	P38080	AKL1_YEAST	S000000263	1108	2	
AKR1	YDR264C	P39010	AKR1_YEAST	S000002672	764	4	
AKR2	YOR034C	Q12013	AKR2_YEAST	S000005560	749	15	
ALA1;CDC64	YOR335C	P40825	SYA_YEAST	S000005862	983	15	
ALB1	YJL122W	P47019	ALB1_YEAST	S000003658	175	10	
ALD2;ALD5	YMR170C	P47771	ALDH2_YEAST	S000004780	506	13	
ALD3;ALD4	YMR169C	P54114	ALDH3_YEAST	S000004779	506	13	
ALD4;ALD7;ALDH2	YOR374W	P46367	ALDH4_YEAST	S000005901	519	15	
ALD5;ALD3;ALDH5	YER073W	P40047	ALDH5_YEAST	S000000875	520	5	
ALD6;ALDH1	YPL061W	P54115	ALDH6_YEAST	S000005982	500	16	
ALE1;LCA1;LPT1;SLC4	YOR175C	Q08548	ALE1_YEAST	S000005701	619	15	
ALF1	YNL148C	P53904	TBCB_YEAST	S000005092	254	14	
ALG1	YBR110W	P16661	ALG1_YEAST	S000000314	449	2	
ALG11	YNL048W	P53954	ALG11_YEAST	S000004993	548	14	
ALG12;ECM39	YNR030W	P53730	ALG12_YEAST	S000005313	551	14	
ALG13	YGL047W	P53178	ALG13_YEAST	S000003015	202	(3)	7
ALG14	YBR070C	P38242	ALG14_YEAST	S000000274	237	2	
ALG2	YGL065C	P43636	ALG2_YEAST	S000003033	503	7	
ALG3;RHK1	YBL082C	P38179	ALG3_YEAST	S000000178	458	2	
ALG5	YPL227C	P40350	ALG5_YEAST	S000006148	334	16	
ALG6	YOR002W	Q12001	ALG6_YEAST	S000005528	544	15	
ALG7;TUR1	YBR243C	P07286	GPT_YEAST	S000000447	448	2	
ALG8	YOR067C	P40351	ALG8_YEAST	S000005593	577	15	
ALG9	YNL219C	P53868	ALG9_YEAST	S000005163	555	14	
ALK1	YGL021W	P43633	ALK1_YEAST	S000002989	760	7	
ALK2	YBL009W	P32789	ALK2_YEAST	S000000105	676	2	
ALO1	YML086C	P54783	ALO_YEAST	S000004551	526	13	
ALP1	YNL270C	P38971	ALP1_YEAST	S000005214	573	14	
ALR1	YOL130W	Q08269	ALR1_YEAST	S000005490	859	15	
ALR2	YFL050C	P43553	ALR2_YEAST	S000001844	858	6	
ALT1	YLR089C	P52893	ALAM_YEAST	S000004079	592	12	
ALT2	YDR111C	P52892	ALAT_YEAST	S000002518	507	4	
ALY1;ART6	YKR021W	P36117	ALY1_YEAST	S000001729	915	11	
ALY2;ART3	YJL084C	P47029	ALY2_YEAST	S000003620	1046	10	
AMA1;SPO70	YGR225W	P50082	AMA1_YEAST	S000003457	593	7	
AMD1;AMD	YML035C	P15274	AMPD_YEAST	S000004498	810	13	
AMD2;AMDY;AMDY1	YDR242W	P22580	AMDY_YEAST	S000002650	549	4	
AME1;ARP100	YBR211C	P38313	AME1_YEAST	S000000415	324	2	
AMN1;CST13;ICS4	YBR158W	P38285	AMN1_YEAST	S000000362	549	2	
AMS1	YGL156W	P22855	MAN1_YEAST	S000003124	1083	(3)	7
ANB1;HYP1;TIF51B	YJR047C	P19211	IF5A2_YEAST	S000003808	157	10	
ANP1;GEM3	YEL036C	P32629	ANP1_YEAST	S000000762	500	5	
ANR2	YKL047W	P36090	ANR2_YEAST	S000001530	516	11	
ANS1	YHR126C	P38832	ANS1_YEAST	S000001168	159	8	
ANT1	YPR128C	Q06497	ANT1_YEAST	S000006332	328	16	
AOS1;RHC31	YPR180W	Q06624	RHC31_YEAST	S000006384	347	16	
APA1;DTP	YCL050C	P16550	APA1_YEAST	S000000555	321	3	
APA2	YDR530C	P22108	APA2_YEAST	S000002938	325	(3)	4
APC1	YNL172W	P53886	APC1_YEAST	S000005116	1748	14	
APC11	YDL008W	Q12157	APC11_YEAST	S000002166	165	4	
APC2;RSI1	YLR127C	Q12440	APC2_YEAST	S000004117	853	(3)	12
APC4	YDR118W	Q04601	APC4_YEAST	S000002525	652	4	
APC5;RMC1	YOR249C	Q08683	APC5_YEAST	S000005775	685	15	
APC9	YLR102C	Q12107	APC9_YEAST	S000004092	265	12	
APD1	YBR151W	P38281	APD1_YEAST	S000000355	316	2	
APE1;API;LAP4;YSC1	YKL103C	P14904	AMPL_YEAST	S000001586	514	(3)	11
APE2;LAP1	YKL157W	P32454	APE2_YEAST	S000001640	952	11	
APE3	YBR286W	P37302	APE3_YEAST	S000000490	537	2	
APE4	YHR113W	P38821	DNPEP_YEAST	S000001155	490	8	
API2	YDR525W	Q04413	API2_YEAST	S000002933	109	4	
APJ1	YNL077W	P53940	APJ1_YEAST	S000005021	528	14	
APL1;YAP80	YJR005W	P27351	AP2B_YEAST	S000003765	700	10	
APL2	YKL135C	P36000	AP1B1_YEAST	S000001618	726	11	
APL3	YBL037W	P38065	AP2A_YEAST	S000000133	1025	2	
APL4	YPR029C	Q12028	AP1G1_YEAST	S000006233	832	16	
APL5;YKS4	YPL195W	Q08951	AP3D_YEAST	S000006116	932	16	
APL6;YKS5	YGR261C	P46682	AP3B_YEAST	S000003493	809	7	
APM1;YAP54	YPL259C	Q00776	AP1M1_YEAST	S000006180	475	16	
APM2	YHL019C	P38700	APM2_YEAST	S000001011	605	8	
APM3;YKS6	YBR288C	P38153	AP3M_YEAST	S000000492	483	2	
APM4;AMP1	YOL062C	Q99186	AP2M_YEAST	S000005423	491	15	
APN1	YKL114C	P22936	APN1_YEAST	S000001597	367	11	
APN2;ETH1	YBL019W	P38207	APN2_YEAST	S000000115	520	2	
APP1	YNL094W	P53933	APP1_YEAST	S000005038	587	14	
APQ12	YIL040W	P40532	APQ12_YEAST	S000001302	138	9	
APQ13	YJL075C	P47036	APQ13_YEAST	S000003611	138	10	
APS1;YAP19	YLR170C	P35181	AP1S1_YEAST	S000004160	156	12	
APS2;YAP17	YJR058C	Q00381	AP2S_YEAST	S000003819	147	10	
APS3;YKS7	YJL024C	P47064	AP3S_YEAST	S000003561	194	10	
APT1	YML022W	P49435	APT1_YEAST	S000004484	187	(3)	13
APT2	YDR441C	P36973	APT2_YEAST	S000002849	181	4	
AQR1	YNL065W	P53943	AQR1_YEAST	S000005009	586	14	
AQY1;AQY1-2	YPR192W	P0CD91	AQY1_YEAST	S000006396	305	16	
AQY2;AQY2-2	YLL052C	P0CD90	AQY2_YEAST	S000003975	149	12	
ARA1	YBR149W	P38115	ARA1_YEAST	S000000353	344	(3)	2
ARA2	YMR041C	Q04212	ARA2_YEAST	S000004644	335	13	
ARB1	YER036C	P40024	ARB1_YEAST	S000000838	610	5	
ARC15	YIL062C	P40518	ARPC5_YEAST	S000001324	154	9	
ARC18	YLR370C	Q05933	ARPC3_YEAST	S000004362	178	12	
ARC19	YKL013C	P33204	ARPC4_YEAST	S000001496	171	11	
ARC1;G4P1	YGL105W	P46672	ARC1_YEAST	S000003073	376	(3)	7
ARC35	YNR035C	P53731	ARPC2_YEAST	S000005318	342	14	
ARC40	YBR234C	P38328	ARPC1_YEAST	S000000438	384	2	
ARD1	YHR013C	P07347	ARD1_YEAST	S000001055	238	(3)	8
ARE1;SAT2	YCR048W	P25628	ARE1_YEAST	S000000644	610	3	
ARE2;SAT1	YNR019W	P53629	ARE2_YEAST	S000005302	642	14	
ARF1	YDL192W	P11076	ARF1_YEAST	S000002351	181	(3)	4
ARF2	YDL137W	P19146	ARF2_YEAST	S000002296	181	(3)	4
ARF3	YOR094W	P40994	ARF3_YEAST	S000005620	183	15	
ARG1	YOL058W	P22768	ASSY_YEAST	S000005419	420	15	
ARG2	YJL071W	P40360	NAGS_YEAST	S000003607	574	10	
ARG3	YJL088W	P05150	OTC_YEAST	S000003624	338	10	
ARG4	YHR018C	P04076	ARLY_YEAST	S000001060	463	8	
ARG5,6	YER069W	Q01217	ARG56_YEAST	S000000871	863	(3)	5
ARG7;ECM40	YMR062C	Q04728	ARGJ_YEAST	S000004666	441	13	
ARG8	YOL140W	P18544	ARGD_YEAST	S000005500	423	15	
ARG80;ARGR1	YMR042W	P07249	ARGR1_YEAST	S000004645	177	13	
ARG81;ARGR2	YML099C	P05085	ARGR2_YEAST	S000004565	880	13	
ARG82;ARGR3;IPK2	YDR173C	P07250	IPMK_YEAST	S000002580	355	(3)	4
ARH1	YDR376W	P48360	ADRO_YEAST	S000002784	493	4	
ARI1	YGL157W	P53111	ARI1_YEAST	S000003125	347	7	
ARK1	YNL020C	P53974	ARK1_YEAST	S000004965	638	(3)	14
ARL1;ARF3	YBR164C	P38116	ARL1_YEAST	S000000368	183	(3)	2
ARL3;ARP1	YPL051W	Q02804	ARL3_YEAST	S000005972	198	16	
ARN1	YHL040C	P38731	ARN1_YEAST	S000001032	627	8	
ARN2;TAF1	YHL047C	P38724	ARN2_YEAST	S000001039	620	8	
ARO10	YDR380W	Q06408	ARO10_YEAST	S000002788	635	4	
ARO1;AROM	YDR127W	P08566	ARO1_YEAST	S000002534	1588	4	
ARO2	YGL148W	P28777	AROC_YEAST	S000003116	376	(3)	7
ARO3	YDR035W	P14843	AROF_YEAST	S000002442	370	4	
ARO4	YBR249C	P32449	AROG_YEAST	S000000453	370	(3)	2
ARO7;OSM2	YPR060C	P32178	CHMU_YEAST	S000006264	256	(3)	16
ARO8	YGL202W	P53090	ARO8_YEAST	S000003170	500	(3)	7
ARO80	YDR421W	Q04052	ARO80_YEAST	S000002829	950	4	
ARO9	YHR137W	P38840	ARO9_YEAST	S000001179	513	8	
ARP10	YDR106W	Q04549	ARP10_YEAST	S000002513	284	4	
ARP1;ACT3;ACT5	YHR129C	P38696	ARP1_YEAST	S000001171	384	8	
ARP2;ACT2	YDL029W	P32381	ARP2_YEAST	S000002187	391	4	
ARP3;ACT4	YJR065C	P47117	ARP3_YEAST	S000003826	449	10	
ARP4;ACT3	YJL081C	P80428	ARP4_YEAST	S000003617	489	(3)	10
ARP5	YNL059C	P53946	ARP5_YEAST	S000005004	755	14	
ARP6	YLR085C	Q12509	ARP6_YEAST	S000004075	438	12	
ARP7;SWP61	YPR034W	Q12406	ARP7_YEAST	S000006238	477	(3)	16
ARP8	YOR141C	Q12386	ARP8_YEAST	S000005667	881	(3)	15
ARP9;SWP59	YMR033W	Q05123	ARP9_YEAST	S000004636	467	(3)	13
ARR1;ACR1;YAP8	YPR199C	Q06596	YAP8_YEAST	S000006403	294	16	
ARR2;ACR2	YPR200C	Q06597	ARR2_YEAST	S000006404	130	16	
ARR3;ACR3	YPR201W	Q06598	ARR3_YEAST	S000006405	404	16	
ART10	YLR392C	P18634	ART10_YEAST	S000004384	518	12	
ART2	YLR154W-A	Q8TGM7	ART2_YEAST	S000028675	61	12	
ART3	YLR154W-E	Q8TGM5	ART3_YEAST	S000028676	67	12	
ART5	YGR068C	P53244	ART5_YEAST	S000003300	586	7	
ARV1	YLR242C	Q06541	ARV1_YEAST	S000004232	321	12	
ARX1	YDR101C	Q03862	ARX1_YEAST	S000002508	593	(3)	4
ASA1	YPR085C	Q06822	ASA1_YEAST	S000006289	443	16	
ASC1;CPC2	YMR116C	P38011	GBLP_YEAST	S000004722	319	(3)	13
ASE1	YOR058C	P50275	ASE1_YEAST	S000005584	885	15	
ASF1;CIA1	YJL115W	P32447	ASF1_YEAST	S000003651	279	(3)	10
ASF2	YDL197C	P32448	ASF2_YEAST	S000002356	525	4	
ASG1	YIL130W	P40467	ASG1_YEAST	S000001392	964	9	
ASG7	YJL170C	P46993	ASG7_YEAST	S000003706	209	10	
ASH1	YKL185W	P34233	ASH1_YEAST	S000001668	588	11	
ASI1	YMR119W	P54074	ASI1_YEAST	S000004725	624	13	
ASI2	YNL159C	P53895	ASI2_YEAST	S000005103	289	14	
ASI3	YNL008C	P53983	ASI3_YEAST	S000004953	676	14	
ASK1	YKL052C	P35734	ASK1_YEAST	S000001535	292	11	
ASK10;RGC2	YGR097W	P48361	ASK10_YEAST	S000003329	1146	7	
ASM4;NUP59	YDL088C	Q05166	NUP59_YEAST	S000002246	528	4	
ASN1	YPR145W	P49089	ASNS1_YEAST	S000006349	572	16	
ASN2	YGR124W	P49090	ASNS2_YEAST	S000003356	572	7	
ASP1	YDR321W	P38986	ASPG1_YEAST	S000002729	381	4	
ASP3-1	YLR155C	P0CZ17	ASP21_YEAST	S000004145	362	12	
ASP3-2	YLR157C	P0CX77	ASP22_YEAST	S000004147	362	12	
ASP3-3	YLR158C	P0CX78	ASP23_YEAST	S000004148	362	12	
ASP3-4	YLR160C	P0CX79	ASP24_YEAST	S000004150	362	12	
ASR1	YPR093C	Q06834	ASR1_YEAST	S000006297	288	16	
AST1	YBL069W	P35183	AST1_YEAST	S000000165	429	2	
AST2	YER101C	P39945	AST2_YEAST	S000000903	430	5	
ATC1;LIC4	YDR184C	Q04005	LIC4_YEAST	S000002592	294	4	
ATE1	YGL017W	P16639	ATE1_YEAST	S000002985	503	7	
ATF1	YOR377W	P40353	ATF1_YEAST	S000005904	525	15	
ATF2	YGR177C	P53296	ATF2_YEAST	S000003409	535	7	
ATG10;APG10	YLL042C	Q07879	ATG10_YEAST	S000003965	167	(3)	12
ATG11;CVT9	YPR049C	Q12527	ATG11_YEAST	S000006253	1178	16	
ATG12;APG12	YBR217W	P38316	ATG12_YEAST	S000000421	186	(3)	2
ATG13;APG13	YPR185W	Q06628	ATG13_YEAST	S000006389	738	16	
ATG14;APG14;CVT12	YBR128C	P38270	ATG14_YEAST	S000000332	344	2	
ATG15;AUT5;CVT17	YCR068W	P25641	ATG15_YEAST	S000000664	520	3	
ATG16;APG15;APG16;CVT11;SAP18	YMR159C	Q03818	ATG16_YEAST	S000004769	150	(3)	13
ATG17;APG17	YLR423C	Q06410	ATG17_YEAST	S000004415	417	12	
ATG18;AUT10;CVT18;NMR1;SVP1	YFR021W	P43601	ATG18_YEAST	S000001917	500	6	
ATG19;CVT19	YOL082W	P35193	ATG19_YEAST	S000005442	415	(3)	15
ATG1;APG1;AUT3;CVT10	YGL180W	P53104	ATG1_YEAST	S000003148	897	7	
ATG20;CVT20;SNX42	YDL113C	Q07528	ATG20_YEAST	S000002271	640	4	
ATG21;CVT21;HSV1;MAI1	YPL100W	Q02887	ATG21_YEAST	S000006021	496	16	
ATG22;AUT4	YCL038C	P25568	ATG22_YEAST	S000000543	528	3	
ATG23;CVT23	YLR431C	Q06671	ATG23_YEAST	S000004423	453	12	
ATG26;UGT51	YLR189C	Q06321	ATG26_YEAST	S000004179	1198	12	
ATG27;ETF1	YJL178C	P46989	ATG27_YEAST	S000003714	271	10	
ATG29	YPL166W	Q12092	ATG29_YEAST	S000006087	213	16	
ATG2;APG2;AUT8;SPO72	YNL242W	P53855	ATG2_YEAST	S000005186	1592	14	
ATG31;CIS1	YDR022C	Q12421	ATG31_YEAST	S000002429	196	4	
ATG32;ECM17	YIL146C	P40458	ATG32_YEAST	S000001408	529	(3)	9
ATG33	YLR356W	Q06485	ATG33_YEAST	S000004348	197	12	
ATG34;ATG19-B	YOL083W	Q12292	ATG34_YEAST	S000005443	412	(3)	15
ATG36	YJL185C	P46983	ATG36_YEAST	S000003721	293	10	
ATG38	YLR211C	Q05789	ATG38_YEAST	S000004201	226	(3)	12
ATG39	YLR312C	Q06159	ATG39_YEAST	S000004303	398	12	
ATG3;APG3;AUT1	YNR007C	P40344	ATG3_YEAST	S000005290	310	(3)	14
ATG40	YOR152C	Q99325	ATG40_YEAST	S000005678	256	15	
ATG41;ICY2	YPL250C	Q12048	ATG41_YEAST	S000006171	136	16	
ATG4;APG4;AUT2	YNL223W	P53867	ATG4_YEAST	S000005167	494	14	
ATG5;APG5	YPL149W	Q12380	ATG5_YEAST	S000006070	294	(3)	16
ATG7;APG7;CVT2	YHR171W	P38862	ATG7_YEAST	S000001214	630	(3)	8
ATG8;APG8;AUT7;CVT5	YBL078C	P38182	ATG8_YEAST	S000000174	117	(3)	2
ATG9;APG9;AUT9;CVT7	YDL149W	Q12142	ATG9_YEAST	S000002308	997	4	
ATH1	YPR026W	P48016	ATH1_YEAST	S000006230	1211	16	
ATM1;MDY	YMR301C	P40416	ATM1_YEAST	S000004916	690	(3)	13
ATO2;FUN34	YNR002C	P32907	ATO2_YEAST	S000005285	282	14	
ATO3	YDR384C	Q12359	ATO3_YEAST	S000002792	275	4	
ATP1	YBL099W	P07251	ATPA_YEAST	S000000195	545	(3)	2
ATP10	YLR393W	P18496	ATP10_YEAST	S000004385	279	12	
ATP11	YNL315C	P32453	ATP11_YEAST	S000005259	318	14	
ATP12	YJL180C	P22135	ATP12_YEAST	S000003716	325	10	
ATP14	YLR295C	Q12349	ATP14_YEAST	S000004286	124	12	
ATP15	YPL271W	P21306	ATP5E_YEAST	S000006192	62	(3)	16
ATP16	YDL004W	Q12165	ATPD_YEAST	S000002162	160	(3)	4
ATP17	YDR377W	Q06405	ATPK_YEAST	S000002785	101	4	
ATP18	YML081C-A	P81450	ATP18_YEAST	S000007247	59	13	
ATP19	YOL077W-A	P81451	ATP19_YEAST	S000007339	68	15	
ATP2	YJR121W	P00830	ATPB_YEAST	S000003882	511	(3)	10
ATP20	YPR020W	Q12233	ATPN_YEAST	S000006224	115	16	
ATP22;TCM10	YDR350C	P50273	ATP22_YEAST	S000002758	684	4	
ATP23	YNR020C	P53722	ATP23_YEAST	S000005303	227	14	
ATP25	YMR098C	Q03153	ATP25_YEAST	S000004704	612	13	
ATP3;ATP3a;ATP3b	YBR039W	P38077	ATPG_YEAST	S000000243	311	(3)	2
ATP4	YPL078C	P05626	ATPF_YEAST	S000005999	244	16	
ATP5;OSCP	YDR298C	P09457	ATPO_YEAST	S000002706	212	4	
ATP6;OLI2;OLI4;PHO1	Q0085	P00854	ATP6_YEAST	S000007268	259	M	
ATP7	YKL016C	P30902	ATP7_YEAST	S000001499	174	11	
